time,n,Rw400,Rw412,Rw443,Rw490,Rw510,Rw560,Rw620,Rw665,Rw674,Rw681,Rw709,Rw754,Rw779,Rw865,Rw1020,ratio,cdom440,cdom375,a254,a350,a443
2018-05-30,20,0.010116779478266835,0.007850786438211799,0.009023463120684028,0.011802730150520802,0.01595066813752055,0.035292910411953926,0.03261849284172058,0.027384450659155846,0.03125970438122749,0.03036445938050747,0.015932349022477865,0.012501654215157032,0.010208090767264366,0.005799164762720466,0.0013527949340641499,2.6398833300366764,0.005972852515460113,-0.022635935142835784,57.28949,14.757243,3.63373
2018-05-31,37,0.004513692227192223,0.0043692466570064425,0.004934830823913217,0.006927456706762314,0.009672972373664379,0.018504424951970577,0.021039539016783237,0.02332222741097212,0.02727595344185829,0.027221127413213253,0.01962926983833313,0.012732040137052536,0.012020988389849663,0.007697844412177801,0.010300393216311932,3.4220130100241306,0.020040313494089704,0.040916194701676595,65.53302,17.2272365,4.391385
2018-06-01,54,0.0020898275543004274,0.0024879765696823597,0.004565176903270185,0.00688130222260952,0.009210875490680337,0.017072828486561775,0.02230348251760006,0.025288832373917103,0.027360680978745222,0.02724858559668064,0.023711300920695066,0.014698703307658434,0.013754019513726234,0.00882770773023367,0.011552243027836084,3.6778980964188994,0.021601156309727317,0.04800078945944103,73.77655,19.69723,5.14904
2018-06-03,36,0.00297993840649724,0.0031003670301288366,0.005142617039382458,0.006235192064195871,0.008854486513882875,0.017334388568997383,0.024193402379751205,0.029255960136651993,0.03260605409741402,0.033051569014787674,0.029214023612439632,0.02008164720609784,0.019580862252041698,0.01458656508475542,0.022013732232153416,4.312529309647095,0.025584335526783217,0.06580204251088097,106.558525,28.445500000000003,7.0637550000000005
2018-06-04,8,0.0009871548973023891,-6.164371006889269e-05,0.0042179664596915245,0.010009576566517353,0.014556280337274075,0.02588219940662384,0.03807777911424637,0.045454662293195724,0.0495687760412693,0.05063417926430702,0.048251133412122726,0.04946810007095337,0.04774348810315132,0.04919598624110222,0.05028024688363075,4.541117398037032,0.0262053185217266,0.06865901002260902,122.9495125,32.819635000000005,8.021112500000001
2018-06-05,17,0.01328161172568798,0.010497268289327621,0.009138266555964947,0.009326959028840065,0.020574256777763367,0.0458218939602375,0.059450481086969376,0.0522928461432457,0.05571923032402992,0.05398499593138695,0.042254187166690826,0.040491316467523575,0.037766169756650925,0.03365869726985693,0.010694536846131086,4.532625625880427,0.019453658752501074,0.03831802401649919,139.3405,37.19377,8.97847
2018-06-06,286,0.005006900057196617,0.004591983277350664,0.0028427098877727985,0.0030196683946996927,0.005103780888020992,0.012601523194462061,0.01667041704058647,0.017992394044995308,0.020536361262202263,0.01989741064608097,0.013746107928454876,0.019697099924087524,0.017829496413469315,0.017607616260647774,0.0026437256019562483,5.816163777637327,0.02095913715655508,0.0454183637348054,138.434025,36.7869625,8.83807
2018-06-07,19,0.011837106198072433,0.00947383651509881,0.004140759818255901,0.004595530917868018,0.007463335059583187,0.018253257498145103,0.024607261642813683,0.02702169679105282,0.03046057838946581,0.03201768919825554,0.02505956031382084,0.02625843044370413,0.024259554222226143,0.01906093768775463,0.002564770169556141,4.723964316158922,0.01953454452126374,0.038595269035966065,137.52755,36.380155,8.697669999999999
2018-06-08,313,0.004640552215278149,0.004684504587203264,0.0035880347713828087,0.005282602272927761,0.007860437035560608,0.017326436936855316,0.02321913093328476,0.026469435542821884,0.028673283755779266,0.02876993641257286,0.026142455637454987,0.02008992340415716,0.019556914921849966,0.017463139723986387,0.008862331043928862,4.651296219100454,0.02270292488123016,0.05301619097091447,136.621075,35.9733475,8.557269999999999
2018-06-09,318,0.0027789679006673396,0.003399387904210016,0.003513797069899738,0.005054422072134912,0.00693170097656548,0.012510012835264206,0.017067841719835997,0.020195037592202425,0.021836409345269203,0.022078347392380238,0.019458583556115627,0.011925311875529587,0.01217693742364645,0.008229915712339182,0.0034941708872793242,4.142012900160756,0.02477562134004624,0.06234748215279701,135.7146,35.56654,8.41687
2018-06-10,318,0.002704873084439896,0.0036438321694731712,0.003430092183407396,0.004927015281282365,0.006817961111664772,0.012557847891002893,0.016774560557678342,0.019501928705722094,0.02114281477406621,0.02160623110830784,0.019873879849910736,0.011855182703584433,0.01193285989575088,0.007480441709049046,0.0021781865725643,3.9773426562605216,0.023767295488603034,0.05781298985271628,139.516,36.488982500000006,8.60528
2018-06-11,301,0.00042136371484957635,0.00131225713994354,0.0029161765705794096,0.004045167937874794,0.00571381114423275,0.010659885592758656,0.014708269387483597,0.017425483092665672,0.019004816189408302,0.01931948959827423,0.01747623272240162,0.009228172712028027,0.009565836749970913,0.005717091262340546,0.002403832972049713,3.7550422342408583,0.024184959844547854,0.05976501256543193,143.3174,37.411425,8.79369
2018-06-12,318,0.001645275973714888,0.003009776337421499,0.0033797998912632465,0.004987718071788549,0.006687396438792348,0.011593477567657828,0.015705791302025318,0.018615145701915026,0.020221364684402943,0.020591883920133114,0.018221158534288406,0.010172708192840219,0.0101832440122962,0.0059212405467405915,0.0021186625090194866,3.710981778440096,0.023575186485263702,0.056998030108045675,147.1188,38.3338675,8.982099999999999
